Country,Annual.GDP.Growth,Date,Last_inflation,Operating Region,Scope,Previous growth
Netherlands,1.8,6/19/2019,2.6,Europe,Include,2.6
New Caledonia,1,12/18/2019,0.2,Australia,Include,0.2
New Zealand,2.1,6/19/2019,1.5,Australia,Include,1.5
Niger,6.4,6/19/2019,-3.6,Africa,Include,-3.6
Nigeria,1.94,6/19/2019,11.24,Africa,Include,11.24
Norway,-0.7,6/19/2019,1.5,Europe,Include,1.5
Oman,12,12/18/2019,0,Asia,Include,0
Pakistan,5.2,12/18/2019,12.55,Asia,Include,12.55
Papua New Guinea,0.3,12/18/2019,4,Australia,Include,4
Paraguay,-3,6/19/2019,2.6,America,Include,2.6
Peru,1.2,6/19/2019,1.88,America,Include,1.88
Philippines,5.5,6/19/2019,0.9,Asia,Include,0.9
Poland,4.5,6/19/2019,2.5,Europe,Include,2.5
Portugal,1.8,6/19/2019,0,Europe,Include,0
Qatar,-1.4,6/19/2019,0.1,Asia,Include,0.1
Republic of the Congo,1.9,12/18/2019,1.1,Africa,Include,1.1
Romania,4.4,6/19/2019,3.5,Europe,Include,3.5
Russia,0.9,6/19/2019,4,Europe,Include,4
Sao Tome and Principe,4.1,12/18/2019,5.4,Africa,Include,5.4
Saudi Arabia,0.5,6/19/2019,-0.7,Asia,Include,-0.7
Senegal,5.5,6/19/2019,0.7,Africa,Include,0.7
Serbia,2.9,6/19/2019,1.1,Europe,Include,1.1
Seychelles,6.7,6/19/2019,1.41,Africa,Include,1.41
Sierra Leone,3.5,12/18/2019,15.4,Africa,Include,15.4
Singapore,0.1,9/19/2019,0.5,Asia,Include,0.5
Slovakia,2,6/19/2019,2.9,Europe,Include,2.9
Slovenia,2.5,6/19/2019,1.4,Europe,Include,1.4
South Africa,0.9,6/19/2019,4.1,Africa,Include,4.1
South Korea,2,9/19/2019,0,Asia,Include,0
Spain,2,9/19/2019,0.1,Europe,Include,0.1
Sri Lanka,1.6,6/19/2019,5.4,Asia,Include,5.4
Sudan,4.1,12/18/2019,53.1,Africa,Include,53.1
Suriname,1.9,12/18/2019,4,America,Include,4
Swaziland,-0.5,12/18/2019,2,Africa,Include,2
Sweden,1,6/19/2019,1.5,Europe,Include,1.5
Switzerland,0.2,6/19/2019,-0.3,Europe,Include,-0.3
Taiwan,2.91,9/19/2019,0.43,Asia,Include,0.43
Tajikistan,7.2,9/19/2019,8.6,Asia,Include,8.6
Tanzania,6.6,3/19/2019,3.4,Africa,Include,3.4
Thailand,2.3,6/19/2019,0.11,Asia,Include,0.11
Togo,5,6/19/2019,-0.3,Africa,Include,-0.3
Tunisia,1.2,6/19/2019,6.7,Africa,Include,6.7
Turkey,-1.5,6/19/2019,9.26,Europe,Include,9.26
Uganda,5.4,6/19/2019,2.5,Africa,Include,2.5
Ukraine,4.6,6/19/2019,7.5,Europe,Include,7.5
United Arab Emirates,2.2,3/19/2019,-2,Asia,Include,-2
United Kingdom,1.3,6/19/2019,1.7,Europe,Include,1.7
United States,2,9/19/2019,1.7,America,Include,1.7
Uzbekistan,5.8,6/19/2019,14.3,Asia,Include,14.3
Vietnam,7.31,9/19/2019,2.24,Asia,Include,2.24
Yemen,-2.7,12/18/2019,9.49,Asia,Include,9.49
Zambia,3.7,12/18/2019,10.7,Africa,Include,10.7
Zimbabwe,4,12/18/2019,288.5,Africa,Include,288.5
